#{"t_start": 1680175727.6997492, "env_id": null}
r,l,t
-359307,3000,19.789077
-388330,3000,38.989913
-346324,3000,58.102782
-349295,3000,76.070185
-385315,3000,94.672982
-391351,3000,114.106021
-380340,3000,133.320621
-379322,3000,151.879394
-404308,3000,170.332699
-378291,3000,188.223368
-386322,3000,206.645059
-356294,3000,224.476875
-387312,3000,242.342861
-377305,3000,260.472344
-381323,3000,278.767226
-374335,3000,297.099288
-388314,3000,315.304331
-375330,3000,333.124935
-366306,3000,351.608981
-377318,3000,369.178165
-394334,3000,387.293257
-379289,3000,405.881913
-359290,3000,423.602108
-389305,3000,442.806032
-365326,3000,463.418673
-396334,3000,482.248404
-385337,3000,500.941743
-376342,3000,519.583812
-368312,3000,538.550669
-376337,3000,557.48543
-384306,3000,576.411408
-387297,3000,595.321199
-365313,3000,613.355688
-378288,3000,632.470188
-362327,3000,650.681199
-372316,3000,669.096302
-386316,3000,686.93653
-402323,3000,705.378093
-366303,3000,724.137563
-340278,3000,742.33239
-396299,3000,761.077223
-383296,3000,780.454811
-382333,3000,799.622389
-381297,3000,817.907451
-365303,3000,836.085734
-382289,3000,854.819153
-348310,3000,872.551112
-357287,3000,890.650117
-390314,3000,909.010912
-358297,3000,926.651127
-383318,3000,945.280065
-394300,3000,963.233085
-356328,3000,981.737633
-356290,3000,1000.34588
-394311,3000,1018.484576
-390328,3000,1036.661152
-378301,3000,1054.753943
-362296,3000,1072.223702
-380286,3000,1089.70709
-369318,3000,1108.423189
-410320,3000,1127.141147
-356304,3000,1145.244113
-386320,3000,1163.615221
-386336,3000,1181.647462
-358319,3000,1200.060787
-354325,3000,1218.994914
-387329,3000,1243.571819
-370310,3000,1261.800679
-344294,3000,1280.292192
-346294,3000,1297.966892
-352303,3000,1316.083157
-385304,3000,1335.211412
-381333,3000,1353.619436
-404333,3000,1371.953853
-413322,3000,1389.799904
-382337,3000,1407.246361
-387309,3000,1425.490484
-321284,3000,1443.509949
-350287,3000,1461.062944
-388330,3000,1479.404449
-380293,3000,1497.096453
-372324,3000,1515.754661
-395306,3000,1533.207788
-373307,3000,1551.861155
-366295,3000,1570.053159
-362300,3000,1588.921349
-374290,3000,1606.86896
-372318,3000,1625.857932
-358300,3000,1643.181191
-388306,3000,1661.242841
-352299,3000,1680.140084
-370313,3000,1697.666425
-364283,3000,1715.707122
-365315,3000,1734.37219
-354287,3000,1752.661776
-343287,3000,1770.485259
-387312,3000,1788.419419
-358278,3000,1806.744185
-382305,3000,1824.782446
-368318,3000,1843.402182
-378325,3000,1861.999654
-385296,3000,1880.352614
-370304,3000,1898.423086
-353282,3000,1916.041031
-362295,3000,1934.421753
-379314,3000,1952.74394
-380284,3000,1970.4626
-358297,3000,1989.119897
-364316,3000,2006.511631
-360305,3000,2025.190923
-381285,3000,2043.677195
-375297,3000,2061.792218
-350261,3000,2079.247527
-361273,3000,2097.324742
-346302,3000,2114.840091
-376305,3000,2132.115366
-358273,3000,2150.138741
-340305,3000,2168.280468
-326254,3000,2184.939881
-379282,3000,2203.131323
-360292,3000,2221.656991
-348287,3000,2239.303942
-372298,3000,2257.470494
-345303,3000,2274.696442
-389301,3000,2292.462647
-353264,3000,2310.313752
-385293,3000,2328.08425
-376283,3000,2345.635612
-358308,3000,2363.564492
-351298,3000,2381.495903
-376294,3000,2399.502902
-358295,3000,2417.858658
-371313,3000,2436.240886
-351289,3000,2459.610022
-354284,3000,2477.381888
-352282,3000,2494.731217
-362286,3000,2512.848349
-353292,3000,2530.403998
-364308,3000,2548.492375
-360282,3000,2566.312038
-351297,3000,2584.399936
-361276,3000,2602.610868
-346264,3000,2620.706078
-336250,3000,2639.446689
-340306,3000,2657.791941
-350264,3000,2675.690802
-356307,3000,2693.781996
-335304,3000,2711.979982
-344282,3000,2730.419114
-376286,3000,2748.601846
-354265,3000,2766.236919
-386306,3000,2784.148107
-359282,3000,2802.321677
-383294,3000,2820.360481
-373274,3000,2837.579026
-351291,3000,2855.291993
-367266,3000,2874.335879
-336297,3000,2892.875241
-330241,3000,2911.22631
-380287,3000,2929.032011
-385321,3000,2948.055968
-363277,3000,2965.536634
-358265,3000,2983.394811
-348292,3000,3000.762038
-348280,3000,3018.816049
-345268,3000,3036.68502
-347295,3000,3055.030878
-351295,3000,3072.425911
-351283,3000,3090.31217
-388310,3000,3108.171353
-362276,3000,3126.71436
-368279,3000,3144.498674
-375271,3000,3162.330707
-379286,3000,3180.665338
-359286,3000,3198.085163
-377283,3000,3216.247441
-333268,3000,3234.216828
-352309,3000,3252.228706
-358276,3000,3269.457396
-362300,3000,3287.970784
-336281,3000,3306.055881
-356277,3000,3325.103657
-333290,3000,3342.985527
-340258,3000,3361.566296
-384300,3000,3379.592395
-350244,3000,3398.395579
-319257,3000,3416.807446
-328238,3000,3434.564618
-328263,3000,3451.934128
-366273,3000,3470.128589
-355264,3000,3487.759417
-317289,3000,3505.238527
-362281,3000,3523.229848
-358267,3000,3540.614296
-328256,3000,3558.428394
-336234,3000,3576.590366
-385292,3000,3594.156337
-344286,3000,3612.026902
-319238,3000,3629.810123
-337248,3000,3647.261753
-337273,3000,3671.063236
-355243,3000,3688.448618
-361268,3000,3706.392424
-363265,3000,3724.104075
-336268,3000,3741.335537
-330248,3000,3759.07911
-315274,3000,3776.856142
-341239,3000,3794.79386
-350272,3000,3812.627844
-339270,3000,3830.758103
-351279,3000,3849.77814
-363285,3000,3867.766636
-339248,3000,3886.257675
-333262,3000,3903.723512
-309255,3000,3920.394452
-362272,3000,3939.084252
-341256,3000,3957.724767
-347263,3000,3976.575687
-348276,3000,3994.62022
-330245,3000,4013.211239
-360272,3000,4031.219085
-357272,3000,4049.105076
-344289,3000,4066.670386
-333278,3000,4084.49877
-348264,3000,4102.795243
-311252,3000,4120.674339
-341284,3000,4138.681349
-366283,3000,4157.139254
-355283,3000,4175.818849
-339290,3000,4193.494591
-341264,3000,4211.494421
-306260,3000,4230.177753
-346255,3000,4248.210709
-342282,3000,4266.066598
-333255,3000,4284.207907
-337292,3000,4302.291198
-335247,3000,4319.422353
-334261,3000,4336.66
-340254,3000,4355.635657
-336272,3000,4373.628608
