#{"t_start": 1680175690.2550404, "env_id": null}
r,l,t
-379256,3000,15.470936
-357024,3000,32.883519
-389484,3000,51.482817
-373304,3000,68.78209
-383292,3000,86.524828
-368472,3000,104.826556
-367400,3000,123.302876
-365160,3000,140.388672
-422704,3000,158.535039
-412336,3000,176.714602
-364240,3000,194.200415
-397516,3000,211.25292
-402428,3000,228.183221
-387364,3000,245.97317
-356216,3000,262.688991
-366548,3000,280.042788
-406620,3000,296.783951
-370600,3000,314.849222
-405608,3000,332.665988
-370072,3000,350.125665
-388404,3000,368.097648
-394016,3000,384.885399
-390384,3000,402.246676
-395308,3000,419.971443
-367472,3000,437.012848
-409772,3000,455.721804
-371528,3000,473.723933
-384524,3000,493.292113
-369284,3000,512.074162
-375576,3000,529.077179
-371224,3000,548.176389
-384020,3000,566.51091
-381556,3000,584.281231
-392208,3000,601.864439
-367308,3000,619.843778
-368404,3000,637.670934
-348984,3000,655.465438
-395284,3000,673.70261
-346008,3000,691.489064
-374380,3000,710.034898
-400364,3000,727.296266
-376360,3000,744.38947
-356340,3000,762.041328
-392248,3000,779.151925
-382464,3000,796.57325
-384208,3000,814.855832
-351156,3000,833.017201
-370424,3000,849.807722
-380444,3000,868.353459
-369260,3000,886.098039
-387356,3000,904.304498
-384260,3000,922.378962
-342364,3000,940.314151
-351112,3000,956.910759
-397424,3000,974.271532
-368528,3000,991.641657
-379264,3000,1008.276213
-347892,3000,1025.192062
-384904,3000,1043.160208
-379452,3000,1061.084222
-404460,3000,1077.735752
-354360,3000,1095.045638
-390448,3000,1112.713709
-389376,3000,1130.709795
-363392,3000,1147.452802
-382488,3000,1165.321169
-379144,3000,1192.21263
-384260,3000,1209.488652
-388376,3000,1227.538286
-367420,3000,1245.034864
-362328,3000,1262.507581
-392432,3000,1279.718452
-356244,3000,1297.581234
-371112,3000,1315.863865
-362996,3000,1333.088387
-346196,3000,1350.958768
-383068,3000,1368.300056
-369492,3000,1385.445329
-316100,3000,1401.942382
-389368,3000,1419.094339
-372120,3000,1436.227619
-379424,3000,1453.344045
-384020,3000,1470.084325
-359296,3000,1487.563162
-347880,3000,1504.991648
-344088,3000,1522.268766
-395372,3000,1539.548078
-366344,3000,1556.97649
-376212,3000,1575.039019
-374976,3000,1592.110054
-384408,3000,1609.586217
-349140,3000,1626.723418
-378144,3000,1643.218578
-352444,3000,1660.129274
-356012,3000,1677.717469
-339876,3000,1694.503779
-380080,3000,1711.954852
-363060,3000,1729.604976
-331060,3000,1746.801759
-343496,3000,1763.766801
-367340,3000,1780.822008
-372404,3000,1797.77938
-354300,3000,1815.618269
-355084,3000,1832.884995
-358052,3000,1850.105513
-345980,3000,1867.769601
-342080,3000,1885.088277
-353356,3000,1902.237217
-373496,3000,1919.193508
-328084,3000,1935.500072
-367992,3000,1952.017796
-353900,3000,1969.153934
-372988,3000,1986.572933
-377264,3000,2002.881968
