#{"t_start": 1680175712.0948963, "env_id": null}
r,l,t
-418462,3000,14.454976
-371432,3000,27.7905
-372466,3000,40.773551
-349457,3000,53.561952
-392455,3000,66.664493
-357445,3000,79.848655
-360467,3000,92.83297
-359453,3000,105.649954
-370433,3000,118.787431
-367439,3000,131.929783
-390463,3000,146.026235
-386453,3000,158.203894
-368452,3000,170.548253
-365428,3000,183.012719
-330437,3000,195.576204
-372454,3000,208.492115
-377463,3000,221.383051
-360455,3000,234.033041
-402474,3000,246.277358
-389455,3000,258.661417
-400462,3000,272.308072
-394442,3000,285.329559
-369426,3000,298.504286
-365444,3000,310.415722
-350446,3000,323.454789
-363449,3000,335.826608
-333456,3000,347.935294
-375461,3000,360.469753
-364445,3000,373.279864
-345429,3000,386.023377
-405437,3000,399.049133
-407452,3000,412.310128
-374446,3000,425.727268
-366428,3000,438.316341
-356442,3000,451.430499
-370442,3000,464.423521
-351434,3000,477.769923
-392441,3000,491.435726
-367445,3000,503.45774
-352441,3000,516.167014
-388431,3000,528.900554
-348416,3000,542.556051
-365467,3000,557.273912
-411438,3000,570.367289
-366430,3000,583.25861
-361437,3000,595.576509
-355442,3000,608.421601
-372431,3000,621.46173
-401437,3000,634.315552
-378475,3000,646.924688
-351429,3000,659.380293
-376421,3000,672.002303
-373466,3000,684.661237
-359449,3000,697.669601
-375438,3000,710.284971
-348445,3000,724.824407
-370427,3000,738.106309
-381457,3000,751.436946
-347420,3000,764.130009
-358434,3000,777.442738
-368453,3000,789.888589
-346457,3000,802.96367
-390479,3000,816.585447
-324426,3000,829.992918
-374451,3000,843.717922
-352436,3000,857.134672
-347411,3000,878.743464
-341436,3000,891.274096
-367450,3000,903.682502
-355433,3000,916.818587
-330446,3000,929.22893
-364423,3000,941.833194
-358441,3000,954.00718
-361452,3000,965.629822
-366445,3000,977.759965
-353457,3000,990.338285
-381464,3000,1002.740121
-359439,3000,1014.967183
-366445,3000,1027.354172
-384459,3000,1040.051282
-405454,3000,1052.288425
-337443,3000,1065.011692
-383432,3000,1077.845225
-349437,3000,1090.256252
-339434,3000,1102.277359
-363432,3000,1114.617504
-354423,3000,1127.122803
-340471,3000,1139.69626
-387445,3000,1152.233734
-389451,3000,1164.605136
-326447,3000,1176.766183
-361400,3000,1189.52125
-351432,3000,1201.893233
-359450,3000,1214.598183
-342430,3000,1227.032295
-350433,3000,1239.125666
-389477,3000,1251.09503
-357424,3000,1263.480043
-376442,3000,1276.448039
-341455,3000,1289.128377
-366468,3000,1301.681577
-361437,3000,1314.346825
-334413,3000,1327.222131
-347442,3000,1338.938138
-366419,3000,1351.331104
-366452,3000,1364.540616
-346411,3000,1377.302056
-356433,3000,1390.125287
-357447,3000,1402.569936
-359441,3000,1415.529589
-372417,3000,1427.927599
-347429,3000,1440.473846
-373453,3000,1452.804221
-349453,3000,1464.90747
-345428,3000,1477.330702
-348436,3000,1489.61165
-344413,3000,1502.672469
-368434,3000,1516.112033
-366436,3000,1528.734628
-360420,3000,1541.140789
-350452,3000,1553.371778
-351433,3000,1566.288209
-400464,3000,1578.807083
-322431,3000,1591.19312
-354431,3000,1603.595949
-340422,3000,1616.099189
-349401,3000,1628.593703
-400428,3000,1641.307533
-359424,3000,1653.64558
-362444,3000,1665.867003
-348430,3000,1678.06721
-354437,3000,1690.319577
-332420,3000,1702.440124
-360414,3000,1723.403537
-323424,3000,1736.148348
