#{"t_start": 1680175660.4269855, "env_id": null}
r,l,t
-393299,3000,15.687073
-377294,3000,30.697697
-379301,3000,49.661382
-360268,3000,69.648863
-390290,3000,90.052073
-393314,3000,111.172364
-378300,3000,132.427536
-340260,3000,153.504409
-382280,3000,174.165197
-412283,3000,195.014692
-372277,3000,216.655413
-368256,3000,237.53139
-393284,3000,257.862797
-390286,3000,278.469894
-355263,3000,299.380291
-347274,3000,320.05731
-400295,3000,341.159839
-349284,3000,362.896757
-364270,3000,383.770257
-361259,3000,404.083483
-385290,3000,424.094041
-364227,3000,444.794446
-387279,3000,466.511889
-367246,3000,488.318906
-355274,3000,510.122041
-376278,3000,533.355625
-361291,3000,555.420953
-374288,3000,578.770557
-376300,3000,600.373211
-364286,3000,622.035262
-407293,3000,644.204947
-378262,3000,666.250426
-393293,3000,688.378607
-355247,3000,711.33591
-355269,3000,734.424942
-366266,3000,755.265591
-383274,3000,776.314334
-374261,3000,798.272464
-370267,3000,820.129694
-382288,3000,841.530205
-400267,3000,863.690803
-350237,3000,884.717586
-362278,3000,906.443983
-406293,3000,927.808203
-381290,3000,947.775764
-370247,3000,968.661237
-361275,3000,988.915893
-385265,3000,1010.085852
-386286,3000,1030.443871
-368280,3000,1050.335405
-364262,3000,1071.079229
-374271,3000,1091.554383
-373288,3000,1112.660462
-366271,3000,1133.037725
-387284,3000,1153.742171
-375278,3000,1173.43646
-370247,3000,1193.397792
-328222,3000,1213.143835
-368232,3000,1232.875789
-354255,3000,1253.664227
-381266,3000,1275.219322
-358285,3000,1296.12119
-374285,3000,1317.036337
-363268,3000,1337.346761
-336239,3000,1359.132998
-360294,3000,1379.738472
-394289,3000,1406.972799
-361259,3000,1428.025204
-371295,3000,1448.352534
-359255,3000,1468.51295
-345252,3000,1488.124723
-361255,3000,1508.274129
-343275,3000,1528.890419
-374252,3000,1549.073249
-363246,3000,1569.267261
-365283,3000,1589.66091
-352231,3000,1609.611177
-365286,3000,1629.807108
-362272,3000,1649.19644
-401291,3000,1670.337008
-390283,3000,1690.477415
-366276,3000,1711.938333
-368245,3000,1732.14304
-341232,3000,1751.977789
-346235,3000,1772.15407
-359265,3000,1792.209607
-377271,3000,1812.629245
-338254,3000,1833.346662
-391287,3000,1854.222799
-359241,3000,1874.16715
-347259,3000,1895.054095
-359257,3000,1915.614733
-356247,3000,1936.038416
-354262,3000,1957.108006
-364256,3000,1977.379533
-339237,3000,1997.53449
-357252,3000,2018.186637
-353241,3000,2038.17302
-382270,3000,2058.239004
-358278,3000,2078.486828
-352279,3000,2099.591139
-369258,3000,2120.641095
-363256,3000,2140.986798
-353243,3000,2161.642526
-390274,3000,2182.073955
-367281,3000,2202.073144
-365246,3000,2221.867807
-358263,3000,2241.816513
-330238,3000,2262.592692
