#{"t_start": 1680175662.6888382, "env_id": null}
r,l,t
-388124,3000,11.038132
-365312,3000,21.388827
-366176,3000,32.753357
-370324,3000,44.859634
-386352,3000,59.21105
-371296,3000,74.113528
-366304,3000,87.992252
-365088,3000,102.358143
-388008,3000,116.385361
-387132,3000,130.609766
-385232,3000,145.017564
-323828,3000,158.766975
-382856,3000,173.066505
-368968,3000,188.339563
-339984,3000,203.778699
-356324,3000,218.688126
-444420,3000,233.023076
-378244,3000,247.801947
-398008,3000,262.581788
-380316,3000,277.179154
-408432,3000,291.578719
-371992,3000,305.907807
-373172,3000,319.608811
-366036,3000,333.460917
-403364,3000,347.687038
-397932,3000,362.726445
-365364,3000,377.138861
-370000,3000,392.177387
-357884,3000,407.253504
-374052,3000,421.45092
-379036,3000,435.718063
-396900,3000,449.701499
-384232,3000,464.948408
-394104,3000,479.219256
-355820,3000,494.100679
-352952,3000,509.164466
-377076,3000,525.143995
-388972,3000,540.895025
-375140,3000,555.601998
-361988,3000,570.179199
-389020,3000,584.989751
-379056,3000,600.319897
-390268,3000,614.781982
-374936,3000,628.822745
-375272,3000,643.367158
-366072,3000,658.297012
-348148,3000,673.349369
-361928,3000,687.898947
-374804,3000,703.138374
-369148,3000,717.957877
-368944,3000,734.149731
-381936,3000,750.695752
-373172,3000,765.350101
-359256,3000,779.481994
-402264,3000,793.622569
-376116,3000,809.528451
-402096,3000,824.899523
-363104,3000,840.324896
-382012,3000,855.491345
-375388,3000,870.480529
-368076,3000,886.270881
-358144,3000,901.177934
-378260,3000,915.989793
-369360,3000,930.180163
-347048,3000,944.375011
-387412,3000,958.755922
-395284,3000,985.079529
-370172,3000,1000.116098
-371912,3000,1015.379097
-339848,3000,1029.136902
-363168,3000,1043.638419
-385284,3000,1058.041236
-372208,3000,1072.541502
-362120,3000,1086.98336
-380064,3000,1101.454747
-353980,3000,1116.087143
-377108,3000,1130.248819
-344956,3000,1145.154695
-348808,3000,1158.934098
-379940,3000,1173.779814
-398040,3000,1187.788666
-367284,3000,1202.075431
-360648,3000,1216.034127
-362208,3000,1230.293293
-324764,3000,1243.912094
-375212,3000,1258.005207
-381048,3000,1271.907324
-375376,3000,1286.149379
-391104,3000,1300.428695
-398224,3000,1314.786545
-382188,3000,1328.895795
-337004,3000,1342.425657
-377888,3000,1356.822972
-366124,3000,1370.786047
-360020,3000,1385.056622
-359956,3000,1399.012775
-367256,3000,1413.395328
-380932,3000,1427.201332
-367812,3000,1441.36091
-378212,3000,1456.26086
-344076,3000,1470.073282
-368148,3000,1484.886593
-366016,3000,1499.288505
-378828,3000,1513.710016
-374844,3000,1528.61933
-364200,3000,1543.177193
-355936,3000,1557.223594
-347004,3000,1571.449147
-369408,3000,1586.299399
-341944,3000,1600.683795
-367880,3000,1614.546538
-354028,3000,1628.736557
-355016,3000,1643.44097
-381096,3000,1658.178448
-338796,3000,1672.498802
-353844,3000,1687.169031
-355908,3000,1701.939044
-371364,3000,1716.004182
-333920,3000,1729.794429
-388272,3000,1744.12404
-327104,3000,1757.829005
-329880,3000,1771.660122
-342868,3000,1786.410692
-342980,3000,1800.509028
-355080,3000,1814.200969
-361004,3000,1828.291854
-381000,3000,1842.90437
-374032,3000,1856.788488
-353020,3000,1871.510544
-348944,3000,1885.510474
-345588,3000,1900.017238
-330804,3000,1913.729526
-356772,3000,1927.615115
-392244,3000,1952.659702
-370128,3000,1966.455628
-350788,3000,1980.484606
-361692,3000,1994.557518
-327664,3000,2007.782148
-384108,3000,2022.129866
-376000,3000,2036.165079
